"Month","Sunspots"
1772-01,100.9
1772-02,90.8
1772-03,31.1
1772-04,92.2
1772-05,38.0
1772-06,57.0
1772-07,77.3
1772-08,56.2
1772-09,50.5
1772-10,78.6
1772-11,61.3
1772-12,64.0
1773-01,54.6
1773-02,29.0
1773-03,51.2
1773-04,32.9
1773-05,41.1
1773-06,28.4
1773-07,27.7
1773-08,12.7
1773-09,29.3
1773-10,26.3
1773-11,40.9
1773-12,43.2
1774-01,46.8
1774-02,65.4
1774-03,55.7
1774-04,43.8
1774-05,51.3
1774-06,28.5
1774-07,17.5
1774-08,6.6
1774-09,7.9
1774-10,14.0
1774-11,17.7
1774-12,12.2
1775-01,4.4
1775-02,0.0
1775-03,11.6
1775-04,11.2
1775-05,3.9
1775-06,12.3
1775-07,1.0
1775-08,7.9
1775-09,3.2
1775-10,5.6
1775-11,15.1
1775-12,7.9
1776-01,21.7
1776-02,11.6
1776-03,6.3
1776-04,21.8
1776-05,11.2
1776-06,19.0
1776-07,1.0
1776-08,24.2
1776-09,16.0
1776-10,30.0
1776-11,35.0
1776-12,40.0
1777-01,45.0
1777-02,36.5
1777-03,39.0
1777-04,95.5
1777-05,80.3
1777-06,80.7
1777-07,95.0
1777-08,112.0
1777-09,116.2
1777-10,106.5
1777-11,146.0
1777-12,157.3
1778-01,177.3
1778-02,109.3
1778-03,134.0
1778-04,145.0
1778-05,238.9
1778-06,171.6
1778-07,153.0
1778-08,140.0
1778-09,171.7
1778-10,156.3
1778-11,150.3
1778-12,105.0
1779-01,114.7
1779-02,165.7
1779-03,118.0
1779-04,145.0
1779-05,140.0
1779-06,113.7
1779-07,143.0
1779-08,112.0
1779-09,111.0
1779-10,124.0
1779-11,114.0
1779-12,110.0
1780-01,70.0
1780-02,98.0
1780-03,98.0
1780-04,95.0
1780-05,107.2
1780-06,88.0
1780-07,86.0
1780-08,86.0
1780-09,93.7
1780-10,77.0
1780-11,60.0
1780-12,58.7
1781-01,98.7
1781-02,74.7
1781-03,53.0
1781-04,68.3
1781-05,104.7
1781-06,97.7
1781-07,73.5
1781-08,66.0
1781-09,51.0
1781-10,27.3
1781-11,67.0
1781-12,35.2
1782-01,54.0
1782-02,37.5
1782-03,37.0
1782-04,41.0
1782-05,54.3
1782-06,38.0
1782-07,37.0
1782-08,44.0
1782-09,34.0
1782-10,23.2
1782-11,31.5
1782-12,30.0
1783-01,28.0
1783-02,38.7
1783-03,26.7
1783-04,28.3
1783-05,23.0
1783-06,25.2
1783-07,32.2
1783-08,20.0
1783-09,18.0
1783-10,8.0
1783-11,15.0
1783-12,10.5
1784-01,13.0
1784-02,8.0
1784-03,11.0
1784-04,10.0
1784-05,6.0
1784-06,9.0
1784-07,6.0
1784-08,10.0
1784-09,10.0
1784-10,8.0
1784-11,17.0
1784-12,14.0
1785-01,6.5
1785-02,8.0
1785-03,9.0
1785-04,15.7
1785-05,20.7
1785-06,26.3
1785-07,36.3
1785-08,20.0
1785-09,32.0
1785-10,47.2
1785-11,40.2
1785-12,27.3
1786-01,37.2
1786-02,47.6
1786-03,47.7
1786-04,85.4
1786-05,92.3
1786-06,59.0
1786-07,83.0
1786-08,89.7
1786-09,111.5
1786-10,112.3
1786-11,116.0
1786-12,112.7
1787-01,134.7
1787-02,106.0
1787-03,87.4
1787-04,127.2
1787-05,134.8
1787-06,99.2
1787-07,128.0
1787-08,137.2
1787-09,157.3
1787-10,157.0
1787-11,141.5
1787-12,174.0
1788-01,138.0
1788-02,129.2
1788-03,143.3
1788-04,108.5
1788-05,113.0
1788-06,154.2
1788-07,141.5
1788-08,136.0
1788-09,141.0
1788-10,142.0
1788-11,94.7
1788-12,129.5
1789-01,114.0
1789-02,125.3
1789-03,120.0
1789-04,123.3
1789-05,123.5
1789-06,120.0
1789-07,117.0
1789-08,103.0
1789-09,112.0
1789-10,89.7
1789-11,134.0
1789-12,135.5
1790-01,103.0
1790-02,127.5
1790-03,96.3
1790-04,94.0
1790-05,93.0
1790-06,91.0
1790-07,69.3
1790-08,87.0
1790-09,77.3
1790-10,84.3
1790-11,82.0
1790-12,74.0
1791-01,72.7
1791-02,62.0
1791-03,74.0
1791-04,77.2
1791-05,73.7
1791-06,64.2
1791-07,71.0
1791-08,43.0
1791-09,66.5
1791-10,61.7
1791-11,67.0
1791-12,66.0
1792-01,58.0
1792-02,64.0
1792-03,63.0
1792-04,75.7
1792-05,62.0
1792-06,61.0
1792-07,45.8
1792-08,60.0
1792-09,59.0
1792-10,59.0
1792-11,57.0
1792-12,56.0
1793-01,56.0
1793-02,55.0
1793-03,55.5
1793-04,53.0
1793-05,52.3
1793-06,51.0
1793-07,50.0
1793-08,29.3
1793-09,24.0
1793-10,47.0
1793-11,44.0
1793-12,45.7
1794-01,45.0
1794-02,44.0
1794-03,38.0
1794-04,28.4
1794-05,55.7
1794-06,41.5
1794-07,41.0
1794-08,40.0
1794-09,11.1
1794-10,28.5
1794-11,67.4
1794-12,51.4
1795-01,21.4
1795-02,39.9
1795-03,12.6
1795-04,18.6
1795-05,31.0
1795-06,17.1
1795-07,12.9
1795-08,25.7
1795-09,13.5
1795-10,19.5
1795-11,25.0
1795-12,18.0
1796-01,22.0
1796-02,23.8
1796-03,15.7
1796-04,31.7
1796-05,21.0
1796-06,6.7
1796-07,26.9
1796-08,1.5
1796-09,18.4
1796-10,11.0
1796-11,8.4
1796-12,5.1
1797-01,14.4
1797-02,4.2
1797-03,4.0
1797-04,4.0
1797-05,7.3
1797-06,11.1
1797-07,4.3
1797-08,6.0
1797-09,5.7
1797-10,6.9
1797-11,5.8
1797-12,3.0
1798-01,2.0
1798-02,4.0
1798-03,12.4
1798-04,1.1
1798-05,0.0
1798-06,0.0
1798-07,0.0
1798-08,3.0
1798-09,2.4
1798-10,1.5
1798-11,12.5
1798-12,9.9
1799-01,1.6
1799-02,12.6
1799-03,21.7
1799-04,8.4
1799-05,8.2
1799-06,10.6
1799-07,2.1
1799-08,0.0
1799-09,0.0
1799-10,4.6
1799-11,2.7
1799-12,8.6
1800-01,6.9
1800-02,9.3
1800-03,13.9
1800-04,0.0
1800-05,5.0
1800-06,23.7
1800-07,21.0
1800-08,19.5
1800-09,11.5
1800-10,12.3
1800-11,10.5
1800-12,40.1
1801-01,27.0
1801-02,29.0
1801-03,30.0
1801-04,31.0
1801-05,32.0
1801-06,31.2
1801-07,35.0
1801-08,38.7
1801-09,33.5
1801-10,32.6
1801-11,39.8
1801-12,48.2
1802-01,47.8
1802-02,47.0
1802-03,40.8
1802-04,42.0
1802-05,44.0
1802-06,46.0
1802-07,48.0
1802-08,50.0
1802-09,51.8
1802-10,38.5
1802-11,34.5
1802-12,50.0
1803-01,50.0
1803-02,50.8
1803-03,29.5
1803-04,25.0
1803-05,44.3
1803-06,36.0
1803-07,48.3
1803-08,34.1
1803-09,45.3
1803-10,54.3
1803-11,51.0
1803-12,48.0
1804-01,45.3
1804-02,48.3
1804-03,48.0
1804-04,50.6
1804-05,33.4
1804-06,34.8
1804-07,29.8
1804-08,43.1
1804-09,53.0
1804-10,62.3
1804-11,61.0
1804-12,60.0
1805-01,61.0
1805-02,44.1
1805-03,51.4
1805-04,37.5
1805-05,39.0
1805-06,40.5
1805-07,37.6
1805-08,42.7
1805-09,44.4
1805-10,29.4
1805-11,41.0
1805-12,38.3
1806-01,39.0
1806-02,29.6
1806-03,32.7
1806-04,27.7
1806-05,26.4
1806-06,25.6
1806-07,30.0
1806-08,26.3
1806-09,24.0
1806-10,27.0
1806-11,25.0
1806-12,24.0
1807-01,12.0
1807-02,12.2
1807-03,9.6
1807-04,23.8
1807-05,10.0
1807-06,12.0
1807-07,12.7
1807-08,12.0
1807-09,5.7
1807-10,8.0
1807-11,2.6
1807-12,0.0
1808-01,0.0
1808-02,4.5
1808-03,0.0
1808-04,12.3
1808-05,13.5
1808-06,13.5
1808-07,6.7
1808-08,8.0
1808-09,11.7
1808-10,4.7
1808-11,10.5
1808-12,12.3
